number,id,place,sleep,sport,experience,effect,hygiene,outside,videogame,gamesay,study,social,nap,cluster,dormitory,password
772,190773,2,1,1,1,1,3,1,2,2,1,2,1,169,720,123456
773,190774,2,1,2,1,2,2,2,2,2,3,2,1,38,214,123456
774,190775,2,2,3,2,3,2,1,2,1,2,2,2,130,606,123456
775,190776,2,2,3,2,1,3,1,1,1,1,1,1,10,111,123456
776,190777,1,1,1,2,3,1,1,2,1,3,3,2,130,606,123456
777,190778,2,1,1,1,3,2,2,3,1,2,3,1,74,325,123456
778,190779,2,1,2,2,1,2,1,3,1,2,1,1,130,606,123456
779,190780,1,2,1,1,2,3,2,3,1,2,3,1,144,620,123456
780,190781,2,1,3,2,3,4,2,1,2,3,3,1,55,306,123456
781,190782,2,1,1,1,1,1,1,1,1,1,2,2,105,506,123456
782,190783,1,2,3,1,1,1,2,1,1,1,2,1,144,620,123456
783,190784,1,2,4,1,2,4,1,2,2,1,2,1,169,720,123456
784,190785,1,2,4,2,2,2,2,1,1,1,2,2,192,818,123456
785,190786,2,2,3,1,3,1,2,3,2,1,1,2,38,214,123456
786,190787,1,1,3,2,1,4,1,1,1,2,1,2,22,123,123456
787,190788,1,1,3,2,2,1,1,3,1,2,2,1,130,606,123456
788,190789,2,1,3,1,2,1,1,1,2,1,3,2,106,507,123456
789,190790,2,1,4,1,2,4,1,2,2,3,2,1,169,720,123456
790,190791,2,2,3,1,2,2,2,1,2,2,1,1,39,215,123456
791,190792,2,1,3,1,2,2,2,2,2,1,3,1,75,401,123456
792,190793,1,1,1,1,1,3,1,3,2,2,2,1,169,720,123456
793,190794,1,1,1,1,1,4,1,3,2,3,1,1,169,720,123456
794,190795,2,2,4,2,3,3,1,3,2,1,1,2,10,111,123456
795,190796,2,2,2,2,3,4,1,1,1,3,3,2,10,111,123456
796,190797,1,1,3,2,1,3,2,1,1,2,2,2,55,306,123456
797,190798,1,1,3,2,3,3,1,3,1,2,2,2,23,124,123456
798,190799,1,1,2,1,2,2,2,3,1,1,3,2,144,620,123456
799,190800,1,2,3,1,1,1,2,1,2,1,2,2,145,621,123456
800,190801,2,2,3,1,3,1,1,3,1,3,2,1,106,507,123456
801,190802,2,2,3,2,1,1,1,2,1,2,1,1,130,606,123456
802,190803,1,2,4,1,3,3,2,3,1,1,2,2,145,621,123456
803,190804,2,2,4,1,3,1,2,2,1,1,3,2,75,401,123456
804,190805,1,2,2,1,1,3,2,3,1,3,3,1,145,621,123456
805,190806,1,2,4,1,3,2,1,3,2,1,3,1,106,507,123456
806,190807,1,2,3,1,1,2,1,3,1,1,1,2,170,721,123456
807,190808,2,1,1,2,3,1,2,1,2,1,1,2,55,306,123456
808,190809,2,1,3,2,1,3,1,1,1,3,2,1,23,124,123456
809,190810,2,1,2,2,1,3,2,3,2,1,2,1,55,306,123456
810,190811,2,2,2,2,2,4,2,1,2,1,1,2,192,818,123456
811,190812,2,2,2,1,3,3,2,3,1,1,2,2,75,401,123456
812,190813,1,1,2,2,1,3,2,2,1,3,2,1,56,307,123456
813,190814,2,1,1,1,2,4,1,3,2,1,3,1,170,721,123456
814,190815,1,1,3,2,3,3,2,2,1,1,3,2,56,307,123456
815,190816,1,2,4,1,3,3,2,3,2,3,2,1,39,215,123456
816,190817,1,2,4,2,3,3,1,1,2,1,2,2,10,111,123456
817,190818,1,1,4,1,3,2,1,1,2,3,3,1,106,507,123456
818,190819,1,1,2,1,3,2,2,2,1,1,1,1,145,621,123456
819,190820,2,2,3,1,3,4,1,1,1,2,3,1,170,721,123456
820,190821,1,1,2,2,1,2,2,3,2,3,2,1,56,307,123456
821,190822,1,2,2,2,2,3,2,3,1,3,3,1,193,819,123456
822,190823,2,2,3,1,3,3,2,2,2,2,1,1,39,215,123456
823,190824,2,2,1,2,1,3,2,2,2,3,2,2,193,819,123456
824,190825,1,2,4,1,3,2,2,2,1,1,2,2,145,621,123456
825,190826,2,2,1,1,2,1,2,1,2,3,2,1,39,215,123456
826,190827,1,1,4,1,1,4,2,2,1,3,1,2,39,215,123456
827,190828,1,2,2,2,3,2,1,2,1,3,2,1,131,607,123456
828,190829,2,2,4,2,1,4,2,3,1,2,1,1,193,819,123456
829,190830,1,2,1,1,2,1,1,2,1,2,1,1,106,507,123456
830,190831,2,2,1,2,3,2,1,2,1,2,1,2,131,607,123456
831,190832,2,1,1,1,2,1,1,3,2,2,1,2,107,508,123456
832,190833,1,2,2,1,2,1,2,1,2,1,1,2,146,622,123456
833,190834,2,2,2,1,2,3,1,3,1,1,2,1,170,721,123456
834,190835,2,2,4,1,2,3,2,2,2,3,3,2,75,401,123456
835,190836,2,1,1,2,1,4,2,2,2,3,3,2,56,307,123456
836,190837,1,1,1,2,1,2,1,1,2,3,1,2,131,607,123456
837,190838,1,1,4,1,1,3,2,2,2,2,1,1,40,216,123456
838,190839,2,2,4,1,3,3,2,2,2,2,1,1,40,216,123456
839,190840,1,1,3,1,3,4,1,1,1,2,1,2,170,721,123456
840,190841,1,2,4,1,3,3,1,1,1,1,2,1,171,722,123456
841,190842,2,2,1,1,2,4,1,1,1,1,2,1,171,722,123456
842,190843,1,1,2,1,2,3,1,1,2,1,2,1,171,722,123456
843,190844,1,2,1,1,1,2,2,3,2,3,2,1,146,622,123456
844,190845,2,1,4,1,2,1,1,3,2,2,1,2,107,508,123456
845,190846,1,2,2,1,2,1,1,1,1,2,1,1,107,508,123456
846,190847,2,2,2,2,3,4,1,2,1,1,2,1,11,112,123456
847,190848,1,2,1,1,2,2,2,1,2,3,3,1,146,622,123456
848,190849,2,1,4,1,2,2,2,2,1,3,2,1,40,216,123456
849,190850,2,2,3,1,1,3,2,3,1,1,1,2,75,401,123456
850,190851,2,1,1,1,2,1,2,2,2,2,2,2,76,402,123456
851,190852,1,1,1,2,3,2,2,1,2,3,3,1,56,307,123456
852,190853,1,2,4,2,3,3,2,2,1,2,1,2,193,819,123456
853,190854,2,2,4,2,3,2,2,2,2,3,1,1,193,819,123456
854,190855,2,2,1,2,2,4,1,2,2,1,2,1,11,112,123456
855,190856,2,1,1,2,3,3,2,2,2,3,1,1,57,308,123456
856,190857,2,1,3,2,3,1,1,1,2,3,2,2,131,607,123456
857,190858,1,2,1,1,1,4,1,3,1,1,1,1,171,722,123456
858,190859,2,2,3,1,3,4,2,3,1,3,3,1,76,402,123456
859,190860,2,1,3,1,1,3,1,3,1,1,1,1,171,722,123456
860,190861,2,2,3,1,3,1,2,2,1,1,1,1,40,216,123456
861,190862,1,2,1,2,3,1,1,2,1,2,3,1,131,607,123456
862,190863,1,2,2,1,2,2,2,3,2,3,3,2,146,622,123456
863,190864,1,2,2,2,2,2,1,2,2,2,1,2,132,608,123456
864,190865,1,2,2,2,3,3,1,3,1,3,3,2,11,112,123456
865,190866,1,2,2,2,1,3,1,1,2,2,3,1,11,112,123456
866,190867,1,2,2,2,2,3,1,1,1,2,2,2,11,112,123456
867,190868,1,2,4,2,3,3,1,1,2,2,2,1,12,113,123456
868,190869,2,1,4,1,3,4,2,2,2,2,3,1,76,402,123456
869,190870,1,1,4,2,3,4,2,1,1,2,2,1,57,308,123456
870,190871,2,1,4,1,2,1,1,2,2,3,2,2,107,508,123456
871,190872,2,2,1,2,3,1,1,3,2,1,1,1,132,608,123456
872,190873,1,1,2,1,1,3,1,3,2,3,2,2,172,723,123456
873,190874,2,2,1,2,1,2,2,2,1,1,3,2,194,820,123456
874,190875,2,1,4,1,1,1,1,2,1,2,2,1,107,508,123456
875,190876,1,1,2,2,3,1,1,1,1,3,2,2,132,608,123456
876,190877,1,2,1,2,1,3,2,1,2,1,3,2,194,820,123456
877,190878,2,1,3,2,3,2,2,1,1,3,1,1,57,308,123456
878,190879,2,2,1,1,1,2,2,2,1,3,3,2,76,402,123456
879,190880,2,2,1,1,2,4,1,1,1,1,1,2,172,723,123456
880,190881,2,1,2,1,1,2,1,1,1,1,3,2,108,509,123456
881,190882,1,2,3,1,3,1,2,2,2,2,2,2,146,622,123456
882,190883,2,2,3,2,3,1,2,1,1,2,3,2,194,820,123456
883,190884,1,1,4,2,2,2,2,3,2,2,2,1,57,308,123456
884,190885,2,2,1,2,2,2,1,3,1,3,1,2,132,608,123456
885,190886,1,1,3,1,3,2,2,2,2,1,3,1,147,623,123456
886,190887,2,1,3,2,1,1,2,2,2,1,2,2,57,308,123456
887,190888,2,1,2,2,2,4,1,1,1,2,1,2,23,124,123456
888,190889,2,1,3,1,2,1,2,1,2,2,2,2,40,216,123456
889,190890,1,2,4,1,2,3,2,1,2,3,3,1,41,217,123456
890,190891,2,2,3,1,2,4,1,2,2,3,1,1,172,723,123456
891,190892,1,2,2,1,1,1,2,3,1,1,1,2,147,623,123456
892,190893,1,2,4,2,3,2,1,2,1,1,1,1,132,608,123456
893,190894,1,1,3,2,3,3,2,3,2,2,2,1,58,309,123456
894,190895,2,1,3,2,2,4,2,1,2,3,1,1,58,309,123456
895,190896,1,1,1,2,2,2,1,1,1,3,1,2,133,609,123456
896,190897,2,2,1,2,3,3,2,3,1,1,1,2,194,820,123456
897,190898,1,1,1,2,1,4,2,1,2,1,2,1,58,309,123456
898,190899,2,2,2,2,3,4,2,3,1,3,1,2,194,820,123456
899,190900,2,1,2,1,2,3,1,2,1,2,3,1,172,723,123456
900,190901,1,2,2,1,2,2,1,1,1,3,1,2,108,509,123456
901,190902,2,2,2,1,2,2,2,2,2,1,3,1,76,402,123456
902,190903,1,1,3,1,1,4,2,3,2,3,3,1,77,403,123456
903,190904,2,1,1,1,1,2,1,3,1,2,3,2,108,509,123456
904,190905,1,2,2,2,2,4,2,2,1,3,3,1,195,821,123456
905,190906,2,1,4,2,3,1,2,3,1,2,2,2,58,309,123456
906,190907,1,2,4,2,3,4,2,3,2,3,2,1,195,821,123456
907,190908,2,2,3,1,1,2,1,3,1,1,2,1,172,723,123456
908,190909,1,2,2,2,2,3,2,3,2,1,1,2,195,821,123456
909,190910,1,2,2,1,2,2,1,2,2,1,2,1,108,509,123456
910,190911,2,1,1,2,2,1,2,3,1,2,2,1,58,309,123456
911,190912,2,2,3,1,1,3,2,2,2,3,1,1,41,217,123456
912,190913,2,2,3,2,1,1,2,1,1,3,2,2,195,821,123456
913,190914,2,1,3,1,2,3,1,1,2,2,2,2,108,509,123456
914,190915,2,1,1,2,1,2,1,3,2,1,3,2,23,124,123456
915,190916,2,1,1,2,1,2,2,3,2,3,2,2,59,310,123456
916,190917,2,2,4,1,3,1,1,3,1,2,3,2,109,510,123456
917,190918,1,1,3,1,3,4,2,3,1,3,1,2,41,217,123456
918,190919,1,1,2,2,2,1,1,3,1,2,2,1,133,609,123456
919,190920,2,2,3,2,1,1,1,3,1,2,1,1,133,609,123456
920,190921,2,2,4,2,3,4,1,1,2,1,1,2,12,113,123456
921,190922,1,1,2,1,3,1,1,1,2,2,1,2,109,510,123456
922,190923,2,2,4,2,2,4,2,3,2,1,1,2,195,821,123456
923,190924,1,2,1,1,2,3,2,2,1,3,1,1,147,623,123456
924,190925,1,2,3,1,2,1,1,1,2,2,1,2,109,510,123456
925,190926,1,1,1,1,1,2,1,2,2,3,2,2,109,510,123456
926,190927,1,2,2,2,1,2,2,2,2,3,1,2,196,822,123456
927,190928,1,2,2,1,2,2,2,3,2,3,1,1,41,217,123456
928,190929,2,2,2,1,2,2,1,3,1,3,3,2,109,510,123456
929,190930,1,1,4,1,1,1,2,1,2,2,1,1,41,217,123456
930,190931,1,2,1,1,1,3,1,1,2,2,3,2,110,511,123456
931,190932,1,2,4,1,2,4,2,3,2,2,1,2,42,218,123456
932,190933,2,2,2,1,2,3,2,1,2,3,2,2,42,218,123456
933,190934,1,2,1,2,1,4,1,1,1,1,1,2,12,113,123456
934,190935,2,1,3,1,2,3,2,1,1,3,2,1,42,218,123456
935,190936,2,2,3,2,3,1,1,1,1,1,1,1,133,609,123456
936,190937,1,1,4,2,1,4,1,1,1,3,3,2,23,124,123456
937,190938,2,1,4,2,2,1,1,1,2,2,1,1,133,609,123456
938,190939,1,2,4,1,1,4,2,2,1,1,1,2,147,623,123456
939,190940,1,2,4,2,2,1,2,3,1,2,3,2,196,822,123456
940,190941,1,2,4,1,1,4,2,1,2,1,1,1,42,218,123456
941,190942,2,1,4,1,1,3,1,2,1,2,1,2,173,724,123456
942,190943,2,1,4,1,2,2,1,2,1,2,1,1,110,511,123456
943,190944,2,1,2,2,2,4,2,2,1,2,1,2,59,310,123456
944,190945,2,1,2,2,3,3,1,2,1,3,2,2,24,125,123456
945,190946,2,1,2,1,1,2,2,3,1,1,3,1,77,403,123456
946,190947,1,2,2,2,1,4,2,2,1,1,2,2,196,822,123456
947,190948,2,1,1,1,3,2,1,2,1,1,2,1,110,511,123456
948,190949,1,1,1,1,3,1,1,3,2,1,3,1,110,511,123456
949,190950,1,2,1,2,2,2,1,3,2,3,1,1,197,823,123456
950,190951,2,2,3,2,3,1,2,2,2,2,3,1,196,822,123456
951,190952,2,2,2,1,1,2,2,2,2,2,3,2,77,403,123456
952,190953,1,1,3,2,1,2,2,1,1,2,1,2,59,310,123456
953,190954,1,2,1,2,3,4,2,3,2,2,1,1,196,822,123456
954,190955,2,2,4,1,2,3,2,1,1,1,2,1,77,403,123456
955,190956,1,1,4,2,3,3,1,3,1,3,1,1,24,125,123456
956,190957,1,1,1,1,1,4,1,1,1,3,2,1,173,724,123456
957,190958,2,1,4,2,3,4,2,2,2,1,2,1,59,310,123456
958,190959,2,2,4,2,3,4,2,3,2,2,3,2,198,824,123456
959,190960,2,1,2,1,2,1,1,1,1,1,1,2,110,511,123456
960,190961,1,1,4,2,1,1,2,2,1,2,3,2,59,310,123456
961,190962,2,1,3,1,2,2,1,1,1,1,2,1,111,512,123456
962,190963,2,1,2,2,3,4,2,3,1,2,2,2,60,311,123456
963,190964,2,1,3,2,2,1,1,2,2,2,2,1,199,825,123456
964,190965,2,1,2,2,3,4,1,1,2,1,1,2,24,125,123456
965,190966,1,2,3,2,1,2,1,2,2,3,3,2,12,113,123456
966,190967,1,2,4,2,3,2,2,2,1,2,1,1,197,823,123456
967,190968,1,2,2,1,3,2,1,1,1,1,2,2,111,512,123456
968,190969,2,2,3,1,3,3,1,1,1,2,2,2,111,512,123456
969,190970,1,2,1,1,1,1,2,1,1,3,3,1,147,623,123456
970,190971,1,2,1,1,1,1,1,3,1,2,2,1,111,512,123456
971,190972,2,1,1,1,1,3,1,3,1,1,3,1,173,724,123456
972,190973,1,1,1,1,3,4,2,3,2,2,1,2,42,218,123456
973,190974,2,1,3,1,1,2,1,2,2,1,3,1,111,512,123456
974,190975,2,1,4,2,3,2,2,3,1,1,1,2,60,311,123456
975,190976,2,2,2,1,2,1,1,2,1,2,1,1,112,513,123456
976,190977,1,2,4,1,1,1,1,1,1,2,1,1,112,513,123456
977,190978,2,1,2,2,1,2,2,2,1,1,3,2,60,311,123456
978,190979,2,2,1,2,2,3,1,1,2,3,2,2,12,113,123456
979,190980,1,1,4,2,2,3,1,2,2,1,1,2,24,125,123456
980,190981,1,2,3,2,2,4,1,1,2,1,1,2,197,823,123456
981,190982,2,2,3,1,1,1,1,3,2,3,3,2,112,513,123456
982,190983,2,2,4,1,1,4,1,1,2,2,1,2,173,724,123456
983,190984,1,1,2,1,1,3,1,3,1,1,3,2,173,724,123456
984,190985,2,2,3,1,3,4,2,3,2,2,3,2,77,403,123456
985,190986,2,1,4,1,2,1,1,2,1,2,1,1,112,513,123456
986,190987,1,1,4,2,3,3,2,2,1,1,2,2,60,311,123456
987,190988,1,2,3,2,2,4,1,2,1,2,2,1,197,823,123456
988,190989,1,1,3,1,3,2,1,3,2,2,2,2,112,513,123456
989,190990,2,1,2,1,2,3,2,3,2,1,2,2,199,825,123456
990,190991,2,2,1,1,3,4,2,2,2,3,2,2,198,824,123456
991,190992,2,2,3,1,2,2,1,1,2,2,1,1,198,824,123456
992,190993,2,1,1,2,2,3,1,1,2,3,1,2,198,824,123456
993,190994,1,1,2,2,1,4,2,3,1,1,2,1,60,311,123456
994,190995,2,2,1,2,2,4,1,2,2,1,1,2,197,823,123456
995,190996,2,1,2,1,2,4,2,1,2,3,2,2,198,824,123456
996,190997,1,1,2,1,3,3,2,3,2,2,2,1,199,825,123456
997,190998,2,1,2,2,1,4,1,3,1,3,3,2,24,125,123456
998,190999,1,2,4,2,3,1,2,3,2,2,3,1,199,825,123456
999,191000,1,2,3,1,1,3,2,3,2,2,2,1,199,825,123456
